2020-2021 (2021),http://www.espn.com/nba/salaries/_/year/2021/seasontype/3,564,28.2,,2019-2020,http://www.espn.com/nba/salaries/_/year/2020/seasontype/3,526,,,2018-2019,http://www.espn.com/nba/salaries/_/year/2019/seasontype/3,499,,,2017-2018,http://www.espn.com/nba/salaries/_/year/2018/seasontype/3,589,,,2016-2017,http://www.espn.com/nba/salaries/_/year/2017/seasontype/3,582,,,2015-16,http://www.espn.com/nba/salaries/_/year/2016/seasontype/3,512,,,2014-15,http://www.espn.com/nba/salaries/_/year/2015/seasontype/3,517,,,2013-14,http://www.espn.com/nba/salaries/_/year/2014/seasontype/3,426,,,2012-13,http://www.espn.com/nba/salaries/_/year/2013/seasontype/3,690,,,2011-12,http://www.espn.com/nba/salaries/_/year/2012/seasontype/3,614,,,2010-11,http://www.espn.com/nba/salaries/_/year/2011/seasontype/3,538,,,2009-10,http://www.espn.com/nba/salaries/_/year/2010/seasontype/3,480,
1,"Stephen Curry, PG",Golden State Warriors,43006362,,1,"Stephen Curry, PG",Golden State Warriors,40231758,,1,"Stephen Curry, PG",Golden State Warriors,37457154,,1,"Stephen Curry, PG",Golden State Warriors,37457154,,1,"LeBron James, SF",Cleveland Cavaliers,30963450,,1,"Kobe Bryant, SF",Los Angeles Lakers,25000000,,1,"Kobe Bryant, SF",Los Angeles Lakers,23500000,,1,"Kobe Bryant, SF",Los Angeles Lakers,30453805,,1,"Kobe Bryant, SF",Los Angeles Lakers,30453805,,1,"Kobe Bryant, SF",Los Angeles Lakers,25244493,,1,"Kobe Bryant, SF",Los Angeles Lakers,24806250,,1,"Kobe Bryant, SF",Los Angeles Lakers,23034375
2,"Chris Paul, PG",Phoenix Suns,41358814,,2,"Chris Paul, PG",Oklahoma City Thunder,38506482,,2,"Chris Paul, PG",Houston Rockets,35654150,,2,"Blake Griffin, PF",Detroit Pistons,32088932,,2,"Kevin Durant, PF",Golden State Warriors,26540100,,2,"LeBron James, SF",Cleveland Cavaliers,22970500,,2,"Joe Johnson, G",Brooklyn Nets,23180790,,2,"Dirk Nowitzki, F",Dallas Mavericks,22721381,,2,"Dirk Nowitzki, F",Dallas Mavericks,20907128,,2,"Kevin Garnett, PF",Boston Celtics,21247044,,2,"Rashard Lewis, PF",Washington Wizards,19573711,,2,"Jermaine O'Neal, C",Miami Heat,23016000
3,"Russell Westbrook, PG",Washington Wizards,41358814,,3,"Russell Westbrook, PG",Houston Rockets,38506482,,3,"LeBron James, SF",Los Angeles Lakers,35654150,,3,"Paul Millsap, PF",Denver Nuggets,31269231,,3,"James Harden, SG",Houston Rockets,26540100,,3,"Carmelo Anthony, PF",New York Knicks,22875000,,3,"Carmelo Anthony, PF",New York Knicks,22458401,,3,"Amar'e Stoudemire, C",New York Knicks,21679893,,3,"Amar'e Stoudemire, C",New York Knicks,19948799,,3,"Tim Duncan, C",San Antonio Spurs,21164619,,3,"Tim Duncan, C",San Antonio Spurs,18835381,,3,"Tracy McGrady, SG",New York Knicks,22843124
4,"James Harden, SG",Brooklyn Nets,41254920,,4,"Kevin Durant, PF",Phoenix Suns,38199000,,4,"Russell Westbrook, PG",Oklahoma City Thunder,35654150,,4,"Kyle Lowry, PG",Toronto Raptors,31200000,,4,"Mike Conley, PG",Memphis Grizzlies,26540100,,4,"Dwight Howard, C",Houston Rockets,22359364,,4,"Dwight Howard, C",Houston Rockets,21436271,,4,"Joe Johnson, G",Brooklyn Nets,21466718,,4,"Joe Johnson, G",Brooklyn Nets,19752645,,4,"Rashard Lewis, PF",Washington Wizards,21136631,,4,"Kevin Garnett, PF",Boston Celtics,18832044,,4,"Tim Duncan, C",San Antonio Spurs,22183220
5,"John Wall, PG",Houston Rockets,41254920,,5,"James Harden, SG",Houston Rockets,38199000,,5,"Blake Griffin, PF",Detroit Pistons,32088932,,5,"Gordon Hayward, SF",Boston Celtics,29727900,,5,"Russell Westbrook, PG",Oklahoma City Thunder,26540100,,5,"Chris Bosh, PF",Miami Heat,22192730,,5,"Chris Bosh, PF",Miami Heat,20644400,,5,"Carmelo Anthony, PF",New York Knicks,21388953,,5,"Carmelo Anthony, PF",New York Knicks,19444503,,5,"Dirk Nowitzki, F",Dallas Mavericks,19092873,,5,"Michael Redd, SG",Milwaukee Bucks,18300000,,5,"Shaquille O'Neal, C",Cleveland Cavaliers,21000000
6,"Kevin Durant, PF",Brooklyn Nets,40108950,,6,"John Wall, PG",Houston Rockets,38199000,,6,"Gordon Hayward, SF",Boston Celtics,31214295,,6,"Mike Conley, PG",Memphis Grizzlies,28530608,,6,"DeMar DeRozan, SF",Toronto Raptors,26540100,,6,"Chris Paul, PG",LA Clippers,21468695,,6,"LeBron James, SF",Cleveland Cavaliers,20644400,,6,"Dwight Howard, C",Houston Rockets,20513178,,6,"Pau Gasol, PF",Los Angeles Lakers,19285850,,6,"Pau Gasol, PF",Los Angeles Lakers,18714150,,6,"Pau Gasol, PF",Los Angeles Lakers,17823000,,6,"Dirk Nowitzki, F",Dallas Mavericks,19795714
7,"LeBron James, SF",Los Angeles Lakers,39219565,,7,"LeBron James, SF",Los Angeles Lakers,37436858,,7,"Kyle Lowry, PG",Toronto Raptors,31200000,,7,"Russell Westbrook, PG",Oklahoma City Thunder,28530608,,7,"Al Horford, C",Boston Celtics,26540100,,7,"Kevin Durant, PF",Oklahoma City Thunder,20158622,,7,"Chris Paul, PG",LA Clippers,20068563,,7,"Pau Gasol, PF",Los Angeles Lakers,19285850,,7,"Chris Bosh, PF",Miami Heat,19067500,,7,"Carmelo Anthony, PF",New York Knicks,18518574,,7,"Andrei Kirilenko, SF",Utah Jazz,17823000,,7,"Paul Pierce, SF",Boston Celtics,19795712
8,"Paul George, F",LA Clippers,35450412,,8,"Kyle Lowry, PG",Toronto Raptors,34996296,,8,"Paul George, F",Oklahoma City Thunder,30560700,,8,"James Harden, SG",Houston Rockets,28299399,,8,"Dirk Nowitzki, F",Dallas Mavericks,25000000,,8,"Derrick Rose, PG",Chicago Bulls,20093064,,8,"Deron Williams, PG",Brooklyn Nets,19754465,,8,"Chris Bosh, PF",Miami Heat,19067500,,8,"LeBron James, SF",Miami Heat,19067500,,8,"Amar'e Stoudemire, C",New York Knicks,18217705,,8,"Gilbert Arenas, PG",Orlando Magic,17730694,,8,"Ray Allen, SG",Boston Celtics,18776860
9,"Klay Thompson, SG",Golden State Warriors,35361360,,9,"Blake Griffin, PF",Detroit Pistons,34449964,,9,"Mike Conley, PG",Memphis Grizzlies,30521115,,9,"DeMar DeRozan, SF",Toronto Raptors,27739975,,9,"Carmelo Anthony, PF",New York Knicks,24559380,,9,"Dwyane Wade, G",Miami Heat,20000000,,9,"Rudy Gay, SF",Sacramento Kings,19317326,,9,"LeBron James, SF",Miami Heat,19067500,,9,"Dwyane Wade, G",Miami Heat,18673000,,9,"Elton Brand, PF",Philadelphia 76ers,18160355,,9,"Yao Ming, C",Houston Rockets,17686100,,9,"Rashard Lewis, PF",Orlando Magic,18010791
10,"Mike Conley, PG",Utah Jazz,34502130,,10,"Tobias Harris, PF",Philadelphia 76ers,32742000,,10,"James Harden, SG",Houston Rockets,30421854,,10,"Al Horford, C",Boston Celtics,27734406,,10,"Damian Lillard, PG",Portland Trail Blazers,24328425,,10,"LaMarcus Aldridge, C",San Antonio Spurs,19689000,,10,"Kevin Durant, PF",Oklahoma City Thunder,18995624,,10,"Dwyane Wade, G",Miami Heat,18673000,,10,"Chris Paul, PG",LA Clippers,18668431,,10,"Dwight Howard, C",Orlando Magic,18091770,,10,"Zach Randolph, F",Memphis Grizzlies,17666666,,10,"Michael Redd, SG",Milwaukee Bucks,17040000
RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY
11,"Jimmy Butler, SF",Miami Heat,34379100,,11,"Jimmy Butler, SF",Miami Heat,32742000,,11,"Kevin Durant, PF",Golden State Warriors,30000000,,11,"Carmelo Anthony, PF",Oklahoma City Thunder,26243760,,11,"Chris Bosh, PF",Miami Heat,23741060,,11,"Brook Lopez, C",Brooklyn Nets,19689000,,11,"Derrick Rose, PG",Chicago Bulls,18862876,,11,"Chris Paul, PG",LA Clippers,18668431,,11,"Kevin Durant, PF",Oklahoma City Thunder,17832626,,11,"Joe Johnson, G",Atlanta Hawks,18038573,,11,"Vince Carter, G",Phoenix Suns,17522375,,11,"Pau Gasol, PF",Los Angeles Lakers,16452000
12,"Kawhi Leonard, SF",LA Clippers,34379100,,12,"Kawhi Leonard, SF",LA Clippers,32742000,,12,"Paul Millsap, PF",Denver Nuggets,29230769,,12,"Damian Lillard, PG",Portland Trail Blazers,26153057,,12,"Dwyane Wade, G",Chicago Bulls,23200000,,12,"Kevin Love, PF",Cleveland Cavaliers,19689000,,12,"Blake Griffin, PF",LA Clippers,17674613,,12,"Deron Williams, PG",Brooklyn Nets,18466130,,12,"Derrick Rose, PG",Chicago Bulls,17632688,,12,"Andrei Kirilenko, SF",Philadelphia 76ers,17823000,,12,"Dirk Nowitzki, F",Dallas Mavericks,17278618,,12,"Andrei Kirilenko, SF",Utah Jazz,16452000
13,"Kemba Walker, PG",Boston Celtics,34379100,,13,"Klay Thompson, SG",Golden State Warriors,32742000,,13,"Al Horford, C",Boston Celtics,28928709,,13,"Otto Porter Jr., SF",Washington Wizards,26011913,,13,"Dwight Howard, C",Atlanta Hawks,23180275,,13,"DeAndre Jordan, C",LA Clippers,19689000,,13,"Zach Randolph, F",Memphis Grizzlies,16500000,,13,"Zach Randolph, F",Memphis Grizzlies,18238333,,13,"Deron Williams, PG",Brooklyn Nets,17177795,,13,"Chris Bosh, PF",Miami Heat,17545000,,13,"Carmelo Anthony, PF",New York Knicks,17149243,,13,"Kevin Garnett, PF",Boston Celtics,16417044
14,"Tobias Harris, PF",Philadelphia 76ers,34358850,,14,"Kemba Walker, PG",Boston Celtics,32742000,,14,"Damian Lillard, PG",Portland Trail Blazers,27977689,,14,"Jrue Holiday, PG",New Orleans Pelicans,25686667,,14,"Chris Paul, PG",LA Clippers,22868827,,14,"Marc Gasol, C",Memphis Grizzlies,19688000,,14,"LaMarcus Aldridge, C",Portland Trail Blazers,16006000,,14,"Rudy Gay, SF",Sacramento Kings,17888932,,14,"Andrew Bynum, C",Philadelphia 76ers,16889000,,14,"LeBron James, SF",Miami Heat,17545000,,14,"Dwight Howard, C",Orlando Magic,16647180,,14,"Amar'e Stoudemire, C",Phoenix Suns,16378325
15,"Khris Middleton, SF",Milwaukee Bucks,33051724,,15,"Gordon Hayward, SF",Boston Celtics,32700690,,15,"DeMar DeRozan, SF",San Antonio Spurs,27739975,,15,"Bradley Beal, SG",Washington Wizards,25434263,,15,"Bradley Beal, SG",Washington Wizards,22116750,,15,"Blake Griffin, PF",LA Clippers,18907726,,15,"Paul George, F",Indiana Pacers,15937290,,15,"Kevin Durant, PF",Oklahoma City Thunder,17832627,,15,"Paul Pierce, SF",Boston Celtics,16790345,,15,"Chris Paul, PG",LA Clippers,16359805,,15,"Kenyon Martin, PF",Denver Nuggets,16545454,,15,"Yao Ming, C",Houston Rockets,16378325
16,"Anthony Davis, PF",Los Angeles Lakers,32742000,,16,"Mike Conley, PG",Utah Jazz,32511624,,16,"Otto Porter Jr., SF",Chicago Bulls,26011913,,16,"Andre Drummond, C",Detroit Pistons,25434263,,16,"Hassan Whiteside, C",Miami Heat,22116750,,16,"Paul Millsap, PF",Atlanta Hawks,18671659,,16,"Marc Gasol, C",Memphis Grizzlies,15829688,,16,"Derrick Rose, PG",Chicago Bulls,17632688,,16,"Zach Randolph, F",Memphis Grizzlies,16500000,,16,"Deron Williams, PG",New Jersey Nets,16359805,,16,"Amar'e Stoudemire, C",New York Knicks,16486611,,16,"Gilbert Arenas, PG",Washington Wizards,16192080
17,"Kyrie Irving, PG",Brooklyn Nets,31742000,,17,"Kyrie Irving, PG",Brooklyn Nets,31742000,,17,"Jrue Holiday, PG",New Orleans Pelicans,25976111,,17,"Hassan Whiteside, C",Miami Heat,25434262,,17,"Harrison Barnes, SF",Dallas Mavericks,22116750,,17,"Paul George, F",Indiana Pacers,17120106,,17,"Kevin Love, PF",Cleveland Cavaliers,15719063,,17,"Blake Griffin, PF",LA Clippers,16441500,,17,"Rudy Gay, SF",Toronto Raptors,16460538,,17,"Dwyane Wade, G",Miami Heat,15691000,,17,"Joe Johnson, G",Atlanta Hawks,16324500,,17,"Vince Carter, G",Orlando Magic,16123250
18,"Damian Lillard, PG",Portland Trail Blazers,31626953,,18,"Khris Middleton, SF",Milwaukee Bucks,30603448,,18,"CJ McCollum, SG",Portland Trail Blazers,25759766,,18,"Joel Embiid, C",Philadelphia 76ers,25250000,,18,"Anthony Davis, PF",New Orleans Pelicans,22116750,,18,"Russell Westbrook, PG",Oklahoma City Thunder,16744218,,18,"Brook Lopez, C",Brooklyn Nets,15719062,,18,"Paul Pierce, SF",Brooklyn Nets,15333334,,18,"Carlos Boozer, PF",Chicago Bulls,15300000,,18,"Kevin Durant, PF",Oklahoma City Thunder,15506632,,18,"Elton Brand, PF",Philadelphia 76ers,15959099,,18,"Zach Randolph, F",Memphis Grizzlies,16000000
19,"Kevin Love, PF",Cleveland Cavaliers,31258256,,19,"Paul George, F",LA Clippers,30560700,,19,"Joel Embiid, C",Philadelphia 76ers,25467250,,19,"Chris Paul, PG",Houston Rockets,24599495,,19,"Andre Drummond, C",Detroit Pistons,22116750,,19,"Kyrie Irving, PG",Cleveland Cavaliers,16407501,,19,"Russell Westbrook, PG",Oklahoma City Thunder,15719062,,19,"Carlos Boozer, PF",Chicago Bulls,15300000,,19,"Andre Iguodala, F",Denver Nuggets,14968250,,19,"Paul Pierce, SF",Boston Celtics,15333334,,19,"Chris Paul, PG",New Orleans Hornets,14940153,,19,"Kenyon Martin, PF",Denver Nuggets,15852511
