2020-2021 (2021),http://www.espn.com/nba/salaries/_/year/2021/seasontype/3,564,28.2,,2019-2020,http://www.espn.com/nba/salaries/_/year/2020/seasontype/3,526,,,2018-2019,http://www.espn.com/nba/salaries/_/year/2019/seasontype/3,499,,,2017-2018,http://www.espn.com/nba/salaries/_/year/2018/seasontype/3,589,,,2016-2017,http://www.espn.com/nba/salaries/_/year/2017/seasontype/3,582,,,2015-16,http://www.espn.com/nba/salaries/_/year/2016/seasontype/3,512,,,2014-15,http://www.espn.com/nba/salaries/_/year/2015/seasontype/3,517,,,2013-14,http://www.espn.com/nba/salaries/_/year/2014/seasontype/3,426,,,2012-13,http://www.espn.com/nba/salaries/_/year/2013/seasontype/3,690,,,2011-12,http://www.espn.com/nba/salaries/_/year/2012/seasontype/3,614,,,2010-11,http://www.espn.com/nba/salaries/_/year/2011/seasontype/3,538,,,2009-10,http://www.espn.com/nba/salaries/_/year/2010/seasontype/3,480,
20,"Pascal Siakam, PF",Toronto Raptors,30559200,,20,"Paul Millsap, PF",Denver Nuggets,30350000,,20,"Andrew Wiggins, SF",Minnesota Timberwolves,25467250,,20,"Giannis Antetokounmpo, PF",Milwaukee Bucks,24157303,,20,"Chandler Parsons, SF",Memphis Grizzlies,22116750,,20,"Greg Monroe, C",Milwaukee Bucks,16407500,,20,"David Lee, PF",Golden State Warriors,15012000,,20,"LaMarcus Aldridge, C",Portland Trail Blazers,14878000,,20,"Russell Westbrook, PG",Oklahoma City Thunder,14693906,,20,"Zach Randolph, F",Memphis Grizzlies,15200000,,20,"Deron Williams, PG",New Jersey Nets,14940153,,20,"Dwyane Wade, G",Miami Heat,15779912
RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY
21,"Ben Simmons, PG",Philadelphia 76ers,30559200,,21,"Damian Lillard, PG",Portland Trail Blazers,29802321,,21,"Bradley Beal, SG",Washington Wizards,25434263,,21,"Kevin Love, PF",Cleveland Cavaliers,24119025,,21,"Derrick Rose, PG",New York Knicks,21323252,,21,"Wesley Matthews, SG",Dallas Mavericks,16407500,,21,"Dwyane Wade, G",Miami Heat,15000000,,21,"Marc Gasol, C",Memphis Grizzlies,14860523,,21,"Emeka Okafor, C",Washington Wizards,14487500,,21,"Antawn Jamison, PF",Cleveland Cavaliers,15076715,,21,"Chris Bosh, PF",Miami Heat,14500000,,21,"Chris Bosh, PF",Toronto Raptors,15779912
22,"Kyle Lowry, PG",Toronto Raptors,30500000,,22,"Kevin Love, PF",Cleveland Cavaliers,28942830,,22,"Anthony Davis, PF",New Orleans Pelicans,25434263,,22,"Nicolas Batum, PF",Charlotte Hornets,24000000,,22,"Marc Gasol, C",Memphis Grizzlies,21165675,,22,"Jimmy Butler, SF",Chicago Bulls,16407500,,22,"Eric Gordon, SG",New Orleans Pelicans,14898938,,22,"Brook Lopez, C",Brooklyn Nets,14693906,,22,"Luol Deng, F",Chicago Bulls,14275000,,22,"Rudy Gay, SF",Memphis Grizzlies,15032144,,22,"LeBron James, SF",Miami Heat,14500000,,22,"Carmelo Anthony, PF",Denver Nuggets,15779912
23,"Steven Adams, C",New Orleans Pelicans,29592696,,23,"Nikola Vucevic, C",Orlando Magic,28000000,,23,"Andre Drummond, C",Detroit Pistons,25434263,,23,"CJ McCollum, SG",Portland Trail Blazers,23962573,,23,"Brook Lopez, C",Brooklyn Nets,21165675,,23,"Kawhi Leonard, SF",San Antonio Spurs,16407500,,23,"Roy Hibbert, C",Indiana Pacers,14898938,,23,"Kevin Love, PF",Minnesota Timberwolves,14693906,,23,"Manu Ginobili, G",San Antonio Spurs,14107492,,23,"Brandon Roy, SG",Minnesota Timberwolves,15032144,,23,"Jason Richardson, SG",Orlando Magic,14444443,,23,"LeBron James, SF",Cleveland Cavaliers,15779912
24,"Joel Embiid, C",Philadelphia 76ers,29542010,,24,"Al Horford, C",Philadelphia 76ers,28000000,,24,"Hassan Whiteside, C",Miami Heat,25434262,,24,"Dwight Howard, C",Charlotte Hornets,23819725,,24,"Kevin Love, PF",Cleveland Cavaliers,21165675,,24,"Enes Freedom, C",Oklahoma City Thunder,16407500,,24,"Tyson Chandler, C",Dallas Mavericks,14846888,,24,"Russell Westbrook, PG",Oklahoma City Thunder,14693906,,24,"Marc Gasol, C",Memphis Grizzlies,13891359,,24,"Al Jefferson, C",Utah Jazz,15000000,,24,"Carlos Boozer, PF",Chicago Bulls,14400000,,24,"Dwight Howard, C",Orlando Magic,15202590
25,"Andrew Wiggins, SF",Golden State Warriors,29542010,,25,"DeMar DeRozan, SF",San Antonio Spurs,27739975,,25,"Nikola Jokic, C",Denver Nuggets,24605181,,25,"Anthony Davis, PF",New Orleans Pelicans,23775506,,25,"DeAndre Jordan, C",LA Clippers,21165675,,25,"Tobias Harris, PF",Detroit Pistons,16000000,,25,"Gordon Hayward, SF",Utah Jazz,14746000,,25,"Emeka Okafor, C",Philadelphia 76ers,14487500,,25,"Blake Griffin, PF",LA Clippers,13701250,,25,"Andrew Bynum, C",Los Angeles Lakers,14900000,,25,"Dwyane Wade, G",Miami Heat,14200000,,25,"Joe Johnson, G",Atlanta Hawks,14976754
26,"Nikola Jokic, C",Denver Nuggets,29542010,,26,"CJ McCollum, SG",Portland Trail Blazers,27556959,,26,"Steven Adams, C",Oklahoma City Thunder,24157303,,26,"Harrison Barnes, SF",Dallas Mavericks,23112004,,26,"Nicolas Batum, PF",Charlotte Hornets,20869566,,26,"John Wall, PG",Washington Wizards,15851950,,26,"John Wall, PG",Washington Wizards,14746000,,26,"Eric Gordon, SG",New Orleans Pelicans,14283844,,26,"Brook Lopez, C",Brooklyn Nets,13668750,,26,"Andre Iguodala, F",Philadelphia 76ers,14718250,,26,"Baron Davis, PG",Cleveland Cavaliers,14000000,,26,"Elton Brand, PF",Philadelphia 76ers,14858472
27,"Kristaps Porzingis, C",Dallas Mavericks,29467800,,27,"Joel Embiid, C",Philadelphia 76ers,27504630,,27,"Giannis Antetokounmpo, PF",Milwaukee Bucks,24157303,,27,"Chandler Parsons, SF",Memphis Grizzlies,23112004,,27,"LaMarcus Aldridge, C",San Antonio Spurs,20575005,,27,"DeMarcus Cousins, C",Sacramento Kings,15851950,,27,"DeMarcus Cousins, C",Sacramento Kings,14746000,,27,"Roy Hibbert, C",Indiana Pacers,14283844,,27,"Kevin Love, PF",Minnesota Timberwolves,13668750,,27,"Manu Ginobili, G",San Antonio Spurs,14107492,,27,"Paul Pierce, SF",Boston Celtics,13876321,,27,"Richard Jefferson, F",San Antonio Spurs,14200000
28,"Devin Booker, SG",Phoenix Suns,29467800,,28,"Andrew Wiggins, SF",Golden State Warriors,27504630,,28,"Marc Gasol, C",Toronto Raptors,24119025,,28,"Brook Lopez, C",Los Angeles Lakers,22642650,,28,"Blake Griffin, PF",LA Clippers,20140839,,28,"James Harden, SG",Houston Rockets,15756438,,28,"James Harden, SG",Houston Rockets,14728844,,28,"Luol Deng, F",Cleveland Cavaliers,14275000,,28,"Eric Gordon, SG",New Orleans Hornets,13668750,,28,"Chris Kaman, C",New Orleans Hornets,14030000,,28,"Andrew Bynum, C",Los Angeles Lakers,13700000,,28,"Chris Paul, PG",New Orleans Hornets,13520500
29,"Karl-Anthony Towns, C",Minnesota Timberwolves,29467800,,29,"Nikola Jokic, C",Denver Nuggets,27504630,,29,"Kevin Love, PF",Cleveland Cavaliers,24119025,,29,"Marc Gasol, C",Memphis Grizzlies,22642350,,29,"Paul Millsap, PF",Atlanta Hawks,20072033,,29,"Roy Hibbert, C",Los Angeles Lakers,15592217,,29,"Chandler Parsons, SF",Dallas Mavericks,14700000,,29,"Tyson Chandler, C",New York Knicks,14100538,,29,"Roy Hibbert, C",Indiana Pacers,13668750,,29,"LaMarcus Aldridge, C",Portland Trail Blazers,14000000,,29,"Rudy Gay, SF",Memphis Grizzlies,13603750,,29,"Deron Williams, PG",Utah Jazz,13520500
30,"CJ McCollum, SG",Portland Trail Blazers,29354152,,30,"Kristaps Porzingis, C",Dallas Mavericks,27285000,,30,"Harrison Barnes, SF",Sacramento Kings,24107258,,30,"DeAndre Jordan, C",LA Clippers,22642350,,30,"Ryan Anderson, PF",Houston Rockets,18735364,,30,"Eric Gordon, SG",New Orleans Pelicans,15514031,,30,"Al Jefferson, C",Charlotte Hornets,13500000,,30,"Andrew Bogut, C",Golden State Warriors,14000000,,30,"Tyson Chandler, C",New York Knicks,13604188,,30,"Carlos Boozer, PF",Chicago Bulls,13500000,,30,"Brandon Roy, SG",Portland Trail Blazers,13603750,,30,"Peja Stojakovic, SF",New Orleans Hornets,13392000
RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY,,RK,NAME,TEAM,SALARY
31,"Bradley Beal, SG",Washington Wizards,28751775,,31,"Devin Booker, SG",Phoenix Suns,27285000,,31,"Chandler Parsons, SF",Memphis Grizzlies,24107258,,31,"Steven Adams, C",Oklahoma City Thunder,22471910,,31,"Allen Crabbe, G",Portland Trail Blazers,18500000,,31,"Klay Thompson, SG",Golden State Warriors,15501000,,31,"Eric Bledsoe, SG",Phoenix Suns,13000000,,31,"David Lee, PF",Golden State Warriors,13878000,,31,"LaMarcus Aldridge, C",Portland Trail Blazers,13500000,,31,"Tyson Chandler, C",New York Knicks,13107837,,31,"Tony Parker, G",San Antonio Spurs,13500000,,31,"Jason Richardson, SG",Phoenix Suns,13333332
32,"D'Angelo Russell, PG",Minnesota Timberwolves,28649250,,32,"Karl-Anthony Towns, C",Minnesota Timberwolves,27285000,,32,"Nicolas Batum, PF",Charlotte Hornets,24000000,,32,"Rudy Gobert, C",Utah Jazz,21924719,,32,"Paul George, F",Indiana Pacers,18314532,,32,"Gordon Hayward, SF",Utah Jazz,15409570,,32,"Nene Hilario, C",Washington Wizards,13000000,,32,"James Harden, SG",Houston Rockets,13701250,,32,"Al Jefferson, C",Utah Jazz,13500000,,32,"Nene Hilario, C",Washington Wizards,13000000,,32,"Samuel Dalembert, C",Sacramento Kings,13428129,,32,"Steve Nash, PG",Phoenix Suns,13125000
33,"Gordon Hayward, SF",Charlotte Hornets,28500000,,33,"D'Angelo Russell, PG",Minnesota Timberwolves,27285000,,33,"Rudy Gobert, C",Utah Jazz,23241573,,33,"Serge Ibaka, F",Toronto Raptors,21666667,,33,"Luol Deng, F",Los Angeles Lakers,18000000,,33,"Chandler Parsons, SF",Dallas Mavericks,15361500,,33,"Andrew Bogut, C",Golden State Warriors,12972973,,33,"Al Jefferson, C",Charlotte Bobcats,13500000,,33,"Ben Gordon, SG",Charlotte Bobcats,13200000,,33,"Marc Gasol, C",Memphis Grizzlies,12922194,,33,"Antawn Jamison, PF",Cleveland Cavaliers,13358905,,33,"Tony Parker, G",San Antonio Spurs,12600000
34,"Otto Porter Jr., SF",Orlando Magic,28489237,,34,"Otto Porter Jr., SF",Chicago Bulls,27250575,,34,"Kawhi Leonard, SF",Toronto Raptors,23114067,,34,"LaMarcus Aldridge, C",San Antonio Spurs,21461010,,34,"Kawhi Leonard, SF",San Antonio Spurs,17638063,,34,"Goran Dragic, PG",Miami Heat,14783000,,34,"Derrick Favors, F",Utah Jazz,12950000,,34,"Josh Smith, PF",Detroit Pistons,13500000,,34,"Josh Smith, PF",Atlanta Hawks,13200000,,34,"Emeka Okafor, C",New Orleans Hornets,12642500,,34,"Nick Collison, F",Oklahoma City Thunder,13270000,,34,"Andrew Bynum, C",Los Angeles Lakers,12500000
35,"DeMar DeRozan, SF",San Antonio Spurs,27739975,,35,"Bradley Beal, SG",Washington Wizards,27093019,,35,"DeAndre Jordan, C",New York Knicks,22897200,,35,"Victor Oladipo, SG",Indiana Pacers,21000000,,35,"Kyrie Irving, PG",Cleveland Cavaliers,17638063,,35,"Khris Middleton, SF",Milwaukee Bucks,14700000,,35,"Rajon Rondo, PG",Dallas Mavericks,12909090,,35,"Nene Hilario, C",Washington Wizards,13000000,,35,"Danny Granger, SF",Indiana Pacers,13058606,,35,"Tony Parker, G",San Antonio Spurs,12500000,,35,"Chauncey Billups, PG",New York Knicks,13150000,,35,"Carlos Boozer, PF",Utah Jazz,12323900
36,"Giannis Antetokounmpo, PF",Milwaukee Bucks,27528090,,36,"Andre Drummond, C",Cleveland Cavaliers,27093019,,36,"LaMarcus Aldridge, C",San Antonio Spurs,22347015,,36,"Danilo Gallinari, PF",LA Clippers,20559599,,36,"Jimmy Butler, SF",Chicago Bulls,17552209,,36,"Tristan Thompson, C",Cleveland Cavaliers,14260870,,36,"Joakim Noah, C",Chicago Bulls,12700000,,36,"Andre Iguodala, F",Golden State Warriors,12868632,,36,"Andrew Bogut, C",Golden State Warriors,13000000,,36,"Al Horford, C",Atlanta Hawks,12498483,,36,"Al Jefferson, C",Utah Jazz,13000000,,36,"Brad Miller, C",Chicago Bulls,12250000
37,"Rudy Gobert, C",Utah Jazz,27525281,,37,"Anthony Davis, PF",Los Angeles Lakers,27093018,,37,"Serge Ibaka, F",Toronto Raptors,21666667,,37,"Ryan Anderson, PF",Houston Rockets,19578455,,37,"Tobias Harris, PF",Detroit Pistons,17200000,,37,"Draymond Green, PF",Golden State Warriors,14260870,,37,"Tony Parker, G",San Antonio Spurs,12500000,,37,"Tony Parker, G",San Antonio Spurs,12500000,,37,"Nene Hilario, C",Washington Wizards,13000000,,37,"Josh Smith, PF",Atlanta Hawks,12400000,,37,"Tyson Chandler, C",Dallas Mavericks,12600000,,37,"Andre Iguodala, F",Philadelphia 76ers,12200000
38,"Al Horford, C",Oklahoma City Thunder,27500000,,38,"Hassan Whiteside, C",Portland Trail Blazers,27093017,,38,"Aaron Gordon, PF",Orlando Magic,21590909,,38,"Paul George, F",Oklahoma City Thunder,19508958,,38,"Greg Monroe, C",Milwaukee Bucks,17145838,,38,"Danilo Gallinari, PF",Denver Nuggets,14000000,,38,"Serge Ibaka, F",Oklahoma City Thunder,12350000,,38,"Kevin Garnett, PF",Brooklyn Nets,12433735,,38,"David Lee, PF",Golden State Warriors,12744000,,38,"Luol Deng, F",Chicago Bulls,12325000,,38,"Richard Hamilton, SG",Detroit Pistons,12500000,,38,"Erick Dampier, C",Dallas Mavericks,12115500
39,"Jamal Murray, PG",Denver Nuggets,27285000,,39,"Jrue Holiday, PG",New Orleans Pelicans,26231111,,39,"Danilo Gallinari, PF",LA Clippers,21587579,,39,"Jimmy Butler, SF",Minnesota Timberwolves,19301070,,39,"Wesley Matthews, SG",Dallas Mavericks,17145838,,39,"Reggie Jackson, PG",Detroit Pistons,13913044,,39,"Andre Iguodala, F",Golden State Warriors,12289544,,39,"Serge Ibaka, F",Oklahoma City Thunder,12350000,,39,"Tony Parker, G",San Antonio Spurs,12500000,,39,"Danny Granger, SF",Indiana Pacers,12015904,,39,"Andre Iguodala, F",Philadelphia 76ers,12345250,,39,"Baron Davis, PG",LA Clippers,12100000
40,"Brandon Ingram, SF",New Orleans Pelicans,27285000,,40,"LaMarcus Aldridge, C",San Antonio Spurs,26000000,,40,"Victor Oladipo, SG",Indiana Pacers,21000000,,40,"Tyler Johnson, G",Miami Heat,19245370,,40,"Enes Freedom, C",Oklahoma City Thunder,17145838,,40,"Andrew Bogut, C",Golden State Warriors,13800000,,40,"Nikola Pekovic, C",Minnesota Timberwolves,12100000,,40,"Nikola Pekovic, C",Minnesota Timberwolves,12100000,,40,"Kevin Martin, SG",Oklahoma City Thunder,12439675,,40,"Joakim Noah, C",Chicago Bulls,12000000,,40,"Manu Ginobili, G",San Antonio Spurs,11854584,,40,"Chauncey Billups, PG",Denver Nuggets,12100000
